city,lat,lng
Brisbane,-27.4678,153.0281
Gold Coast,-28.0167,153.4
Townsville,-19.2564,146.8183
Ipswich,-27.6167,152.7667
Cairns,-16.9303,145.7703
Mackay,-21.1411,149.1861
Rockhampton,-23.375,150.5117
Bundaberg,-24.85,152.35
Fraser Coast, -25.2398,153.1325
Mount Isa, -20.7333,139.5
