Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,15-Nov-19,FALSE,1400,600,0,0,2000,196,574
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,15-Nov-19,FALSE,500,100,0,0,600,20,140
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,15-Nov-19,FALSE,200,0,0,0,200,359,
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,15-Nov-19,TRUE,0,0,0,0,0,267,805
Ipswich,Woodend,-27.6031,152.7485,15-Nov-19,FALSE,600,300,300,0,1200,172,191
Ipswich,Yamanto,-27.651449,152.755601,15-Nov-19,FALSE,300,0,0,0,300,177,479
Somerset,Atkinsons Dam,-27.42135,152.456091,16-Nov-19,FALSE,200,50,0,0,250,373,
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,16-Nov-19,FALSE,1400,800,0,0,2200,83,383
Brisbane,"Karana Downs, Kanangra Close",-27.540263,152.823505,15-Nov-19,FALSE,150,0,0,0,150,270,
Ipswich,Pine Mountain (Camerons Scrub/Sapling Pocket),-27.49392,152.72223,15-Nov-19,TRUE,0,0,0,0,0,116,423
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,14-Nov-19,FALSE,300,4700,0,0,5000,76,372
Banana,Wowan,-23.910522,150.192726,15-Nov-19,FALSE,500,0,0,0,500,254,
Gladstone,Aucklalnd Inlet,-23.835839,151.251364,15-Nov-19,FALSE,2500,0,0,0,2500,286,286
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,15-Nov-19,FALSE,0,0,7000,0,7000,371,
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,15-Nov-19,TRUE,0,0,0,0,0,364,901
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,15-Nov-19,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,15-Nov-19,FALSE,600,0,300,0,900,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,15-Nov-19,TRUE,0,0,0,0,0,18,299
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,14-Nov-19,FALSE,351,29,0,0,380,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,15-Nov-19,TRUE,0,0,0,0,0,347,845
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,15-Nov-19,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,14-Nov-19,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,14-Nov-19,FALSE,3500,,15000,0,18500,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,14-Nov-19,FALSE,800,7,1000,0,1807,88,535
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,14-Nov-19,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,14-Nov-19,TRUE,0,0,0,0,0,87,533
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,14-Nov-19,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,14-Nov-19,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,15-Nov-19,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,15-Nov-19,TRUE,0,0,0,0,0,271,
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,14-Nov-19,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,15-Nov-19,FALSE,1100,6,700,0,1806,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,14-Nov-19,TRUE,0,0,0,0,0,171,190
Rockhampton,Kabra,-23.471698,150.396872,15-Nov-19,FALSE,1500,0,0,0,1500,256,362
Brisbane,"Coopers Plains, Beryl Roberts Park, Barham St",-27.567531,153.043448,16-Nov-19,FALSE,300,200,0,0,500,247,745
Isaac,"Clermont, Capella Street",-22.818229,147.64139,15-Nov-19,FALSE,0,0,120000,0,120000,336,314
Banana,Biloela,-24.407953,150.513406,15-Nov-19,FALSE,3365,0,930,0,4295,370,
Brisbane,Brisbane Botanic Gardens Parliament House,-27.4748293,153.0279204,15-Nov-19,FALSE,5,65,0,0,70,392,
Mackay,Finch Hatton Gorge,-21.0808,148.6347,15-Nov-19,FALSE,45000,125,0,0,45125,290,343
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,14-Nov-19,FALSE,0,800,0,0,800,182,347
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,20-Nov-19,FALSE,328,210,0,0,538,375,1009
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,20-Nov-19,FALSE,600,55,0,0,655,86,390
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,19-Nov-19,TRUE,0,0,0,0,0,198,322
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,19-Nov-19,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,20-Nov-19,FALSE,460,140,0,0,600,93,395
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,20-Nov-19,FALSE,309,104,0,0,413,198,322
Sunshine Coast,"Palmview, Glenview Road",-26.757688,153.045879,19-Nov-19,FALSE,230,620,0,0,850,369,943
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,20-Nov-19,FALSE,0,0,0,0,0,156,460
Sunshine Coast,"Palmwoods, Kolora Park Bushland Conservation Reserve",-26.6863,152.960392,20-Nov-19,FALSE,1820,2670,0,0,4490,390,
Sunshine Coast,"Kuluin, Tallow Wood Drive",-26.660731,153.056141,19-Nov-19,FALSE,650,645,0,0,1295,389,
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,20-Nov-19,TRUE,0,0,0,0,0,356,
Sunshine Coast,"Maleny, Tesch Park",-26.760769,152.8524,20-Nov-19,FALSE,2240,3635,0,0,5875,391,
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,20-Nov-19,FALSE,0,0,0,0,0,78,374
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,15-Nov-19,FALSE,125,125,0,0,250,200,368
Moreton Bay,Woodford,-26.95031,152.7763,15-Nov-19,TRUE,0,0,0,0,0,173,192
Gladstone,"Gladstone West, Blain Drive",-23.851422,151.233179,15-Nov-19,FALSE,2500,0,0,0,2500,279,
Rockhampton,Emu Park (Bell Park),-23.25383,150.82504,15-Nov-19,FALSE,500,0,0,0,500,386,
Rockhampton,Keppel Sands,-23.33265,150.7916,15-Nov-19,FALSE,5000,0,0,0,5000,292,367
Rockhampton,"Yeppoon, Ross Creek",-23.135065,150.746748,15-Nov-19,FALSE,3000,0,0,0,3000,276,438
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,15-Nov-19,FALSE,850,0,0,0,850,255,754
Banana,Theodore,-24.950733,150.076493,15-Nov-19,FALSE,0,0,3265,0,3265,258,
Western Downs,Chinchilla,-26.80121,150.58126,8-Nov-19,TRUE,0,0,0,0,0,27,557
Western Downs,"Dalby, Wood Street",-27.18993,151.2598,8-Nov-19,FALSE,350,0,7000,0,7350,38,327
Somerset,Esk,-27.2349,152.4233,15-Nov-19,FALSE,740,75,30,0,845,47,156
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,15-Nov-19,FALSE,640,480,30,0,1150,83,383
Toowoomba,"Pittsworth, Int. Campbell St & Perham St",-27.708465,151.638824,13-Nov-19,TRUE,0,0,0,0,0,117,562
Toowoomba,Toowoomba (Redwood Park),-27.56332453,151.9972237,14-Nov-19,TRUE,0,0,0,0,0,158,554
Toowoomba,"The Palms NP, Cooyar",-26.93452,151.87859,14-Nov-19,FALSE,600,600,0,0,1200,152,183
Ipswich,"Rosewood, John Street Reserve (Masons Gully)",-27.632688,152.590144,15-Nov-19,FALSE,150,150,0,0,300,394,
Lockyer Valley,Helidon State School,-27.554828,152.12664,14-Nov-19,FALSE,50,50,1200,0,1300,395,
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,15-Nov-19,FALSE,200,0,0,0,200,2,271
Redland,"North Stradbroke Island, Point Lookout",-27.427014,153.527627,15-Nov-19,FALSE,180,20,0,0,200,109,412
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,14-Nov-19,FALSE,5000,100,1000,0,6100,265,772
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,14-Nov-19,FALSE,240,90,150,31,511,221,585
Bundaberg,Isis Golf Club,-25.229605,152.3017527,14-Nov-19,FALSE,2000,200,0,0,2200,363,
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,14-Nov-19,FALSE,1300,700,0,0,2000,238,712
Bundaberg,"North Bundaberg, Queen St",-24.844087,152.347531,14-Nov-19,TRUE,0,0,0,0,0,351,
Bundaberg,"Horton, Station Road",-25.226732,152.307816,14-Nov-19,TRUE,0,0,0,0,0,67,359
Moreton Bay,"Dayboro, Strong Road",-27.2069,152.8316,15-Nov-19,FALSE,760,240,0,0,1000,40,180
Moreton Bay,"Petrie, Sweeny Reserve",-27.272413,152.975115,15-Nov-19,FALSE,890,160,0,0,1050,402,
Moreton Bay,"Albany Creek, Kingfisher Street",-27.347189,152.959594,15-Nov-19,FALSE,1680,720,0,0,2400,272,
Moreton Bay,Highvale,-27.3667,152.8318,15-Nov-19,TRUE,0,0,0,0,0,313,
Moreton Bay,"Samford, Days Road",-27.3761,152.8405,15-Nov-19,FALSE,510,570,0,0,1080,133,152
Moreton Bay,"Ferny Hills, Kylie Ave",-27.4055,152.945647,15-Nov-19,FALSE,950,950,0,0,1900,197,341
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,15-Nov-19,FALSE,800,200,0,0,1000,215,595
Western Downs,"Dalby, Myall Creek",-27.18833,151.2626,8-Nov-19,FALSE,350,0,7000,0,7350,37,327
Toowoomba,"Highfields, Jackson Close",-27.460528,151.928278,14-Nov-19,FALSE,1000,0,0,0,1000,235,719
South Burnett,"Kingaroy, Mt. Wooloorin Reserve",-26.52754,151.81249,14-Nov-19,FALSE,4000,0,16000,0,20000,71,369
Somerset,"Linville, John Street",-26.841322,152.278415,15-Nov-19,FALSE,85,30,0,0,115,206,552
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,15-Nov-19,FALSE,640,480,30,0,1150,83,383
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,8-Nov-19,FALSE,400,0,1000,0,1400,191,556
Toowoomba,"Pittsworth, 1 Thomas Street",-27.712528,151.634861,13-Nov-19,TRUE,0,0,0,0,0,211,561
Toowoomba,"Pittsworth, Briggs Street",-27.722054,151.633725,13-Nov-19,TRUE,0,0,0,0,0,385,
Toowoomba,"Toowoomba, Spring Street",-27.601012,151.942978,19-Nov-19,FALSE,1695,400,1530,0,3625,159,462
South Burnett,Proston Vine Scrub,-26.16801,151.60373,14-Oct-19,FALSE,30,0,1700,0,1730,399,
Southern Downs,Warwick - Canning Street,-28.2258,152.0376,15-Nov-19,FALSE,1500,0,0,0,1500,400,
Mount Isa,Mount Isa Sunset Memorial Cemetery,-20.702463,139.506956,15-Nov-19,FALSE,0,0,5000,0,5000,398,
Bundaberg,"Childers, Gorries Road",-25.221755,152.295966,14-Nov-19,TRUE,0,0,0,0,0,401,
Brisbane,"Toowong Perrin Park, Josling St",-27.490983,152.992867,15-Nov-19,FALSE,1496,264,0,0,1760,208,584
Moreton Bay,"Petrie, Sweeny Reserve",-27.272413,152.975115,17-Oct-19,FALSE,600,400,0,0,1000,402,
Moreton Bay,"Bellara, Warrigal Street",-27.057756,153.142425,15-Nov-19,FALSE,323,216,0,0,539,213,583
Moreton Bay,"Bongaree, Shirley Creek",-27.07898,153.15917,15-Nov-19,FALSE,217,869,0,0,1086,181,581
Moreton Bay,"Sandstone Point, Bestman Rd",-27.0804,153.1279,15-Nov-19,FALSE,8,0,0,0,8,135,439
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,15-Nov-19,FALSE,1280,470,0,0,1750,164,186
Moreton Bay,Burpengary,-27.152663,152.971398,15-Nov-19,TRUE,0,0,0,0,0,16,297
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,15-Nov-19,FALSE,690,462,0,0,1152,189,298
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,15-Nov-19,FALSE,30,0,0,0,30,137,582
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,15-Nov-19,FALSE,2110,45,100,0,2255,122,429
Moreton Bay,"Dayboro, Railway Street",-27.197112,152.825392,15-Nov-19,FALSE,825,985,0,0,1810,39,328
