Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Western Downs,"Dalby, Myall Creek",-27.18833,151.2626,30-Nov-16,FALSE,200,0,0,0,200,37,327
Western Downs,Chinchilla,-26.80121,150.58126,30-Nov-16,FALSE,150,0,200,0,350,27,557
Maranoa,Surat,-27.150293,149.069653,28-Nov-16,FALSE,0,0,2500,0,2500,282,
Lockyer Valley,Murphys Creek,-27.455941,152.049271,28-Nov-16,FALSE,0,4500,4500,0,9000,358,
Maranoa,"Roma, Bungil Creek",-26.560163,148.802898,27-Nov-16,FALSE,0,0,1500,0,1500,131,295
Moreton Bay,"Sandstone Point, Bestman Rd",-27.0804,153.1279,27-Nov-16,FALSE,142,10,0,0,152,135,439
Murweh,Charleville (Warrego),-26.35975,146.27635,26-Nov-16,TRUE,0,0,0,0,0,24,311
Balonne,Dirranbandi,-28.563019,148.237899,23-Nov-16,TRUE,0,0,0,0,0,281,776
Baloone,St George,-28.025529,148.589506,22-Nov-16,FALSE,0,0,3000,0,3000,280,770
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,22-Nov-16,TRUE,0,0,0,0,0,86,390
Goondiwindi,Goondiwindi (Macintyre River) Cairns St.,-28.537349,150.287601,21-Nov-16,FALSE,0,0,2000,0,2000,57,547
Southern Downs,Allora (Dalrymple Park Reserve),-28.031389,151.984722,21-Nov-16,FALSE,150,150,0,0,300,3,271
Goondiwindi,"Inglewood, Frey Street",-28.41600814,151.0736175,21-Nov-16,FALSE,0,0,2500,0,2500,69,548
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,20-Nov-16,FALSE,1110,11,0,0,1121,43,159
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,20-Nov-16,FALSE,400,400,0,0,800,226,775
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,19-Nov-16,FALSE,320,2980,0,0,3300,182,347
Logan,"Regents Park, Emerald Drive",-27.680013,153.036987,18-Nov-16,FALSE,5000,2500,0,0,7500,128,433
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,18-Nov-16,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,18-Nov-16,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,18-Nov-16,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,18-Nov-16,TRUE,0,0,0,0,0,271,
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,18-Nov-16,FALSE,3500,20,0,0,3520,65,538
Brisbane,"Calamvale, Golden Avenue",-27.62738,153.056525,18-Nov-16,FALSE,200,0,0,0,200,241,744
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,18-Nov-16,FALSE,1000,500,0,0,1500,184,377
Brisbane,"Parkinson, Avondale Crescent",-27.63034,153.033682,18-Nov-16,FALSE,400,700,0,0,1100,112,419
Whitsunday,Hamilton Island,-20.3449,148.95179,18-Nov-16,FALSE,4200,0,0,0,4200,266,353
Brisbane,"The Gap, Riaweena St",-27.444316,152.941897,18-Nov-16,FALSE,0,200,0,0,200,151,457
Gold Coast,"Miami, Pizzey Drive",-28.068058,153.423814,18-Nov-16,TRUE,0,0,0,0,0,202,546
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,18-Nov-16,TRUE,0,0,0,0,0,210,589
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,18-Nov-16,FALSE,1500,0,0,0,1500,200,368
Ipswich,Woodend,-27.6031,152.7485,18-Nov-16,TRUE,0,0,0,0,0,172,191
Rockhampton,Duaringa,-23.7209,149.6709,18-Nov-16,FALSE,0,0,1100,0,1100,301,
Logan,"Beenleigh, Logan St",-27.708984,153.196341,18-Nov-16,FALSE,960,1440,0,0,2400,204,281
Moreton Bay,Woodford,-26.95031,152.7763,18-Nov-16,FALSE,750,1500,0,0,2250,173,192
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,18-Nov-16,FALSE,10000,10000,1000,0,21000,83,383
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,18-Nov-16,FALSE,3000,1200,0,0,4200,95,400
Ipswich,Redbank (Pan Pacific Peace Garden),-27.599624,152.880163,18-Nov-16,TRUE,0,0,0,0,0,121,428
Gold Coast,"Coombabah, Coombabah Creek",-27.8883,153.3812,18-Nov-16,FALSE,30,0,0,0,30,33,543
Banana,Wowan,-23.910522,150.192726,18-Nov-16,FALSE,1600,0,200,0,1800,254,
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,18-Nov-16,FALSE,240,30,0,0,270,93,395
Noosa,Weyba Creek,-26.407034,153.076583,18-Nov-16,TRUE,0,0,0,0,0,168,187
Sunshine Coast,"Conondale, Herron Rd",-26.727645,152.719883,18-Nov-16,TRUE,0,0,0,0,0,194,317
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,18-Nov-16,FALSE,100,0,0,0,100,359,
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,18-Nov-16,FALSE,0,3500,0,0,3500,150,455
North Burnett,"Gayndah, Brambah Ck",-25.5859,151.6622,18-Nov-16,TRUE,0,0,0,0,0,50,549
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,18-Nov-16,FALSE,150,150,0,0,300,196,574
Fraser Coast,Craignish Heights,-25.2875,152.7471,18-Nov-16,TRUE,0,0,0,0,0,347,
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,18-Nov-16,FALSE,0,300,0,0,300,20,140
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,18-Nov-16,FALSE,0,150,0,0,150,267,
Ipswich,Yamanto,-27.651449,152.755601,18-Nov-16,FALSE,750,1250,0,0,2000,177,479
Gold Coast,"Coombabah, Coombabah Creek",-27.8883,153.3812,18-Nov-16,TRUE,0,0,0,0,0,33,543
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,18-Nov-16,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,18-Nov-16,TRUE,0,0,0,0,0,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,18-Nov-16,TRUE,0,0,0,0,0,18,299
