Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Whitsunday,Lindeman Island,-20.45293,149.03743,20-May-16,FALSE,500,0,0,0,500,308,376
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,20-May-16,FALSE,0,0,0,0,0,184,377
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,20-May-16,FALSE,1700,800,0,0,2500,184,377
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,18-May-16,TRUE,0,0,0,0,0,209,539
Brisbane,"MacGregor, Freesia Street",-27.570659,153.084987,21-May-16,TRUE,0,0,0,0,0,84,384
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,24-May-16,TRUE,0,0,0,0,0,86,390
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,19-May-16,TRUE,0,0,0,0,0,87,533
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,18-May-16,FALSE,1500,0,0,0,1500,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,18-May-16,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,19-May-16,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,18-May-16,TRUE,0,0,0,0,0,91,534
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,20-May-16,FALSE,22,0,0,0,22,300,
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,20-May-16,FALSE,18,0,0,0,18,300,
Gold Coast,"Miami, Pizzey Drive",-28.068058,153.423814,20-May-16,TRUE,0,0,0,0,0,202,546
Isaac,Middlemount,-22.8124,148.7016,20-May-16,FALSE,0,0,10000,0,10000,261,393
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,20-May-16,TRUE,0,0,0,0,0,156,460
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,21-May-16,TRUE,0,0,0,0,0,93,395
Bundaberg,Moore Park Beach,-24.71827,152.280459,19-May-16,TRUE,0,0,0,0,0,297,773
Isaac,Moranbah,-22.008,148.0608,19-May-16,FALSE,0,0,2000,0,2000,257,396
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,20-May-16,FALSE,780,560,0,0,1340,96,401
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,20-May-16,TRUE,0,0,0,0,0,97,402
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,20-May-16,TRUE,0,0,0,0,0,223,591
Isaac,"Nebo, Nebo Creek",-21.688163,148.686713,19-May-16,FALSE,0,0,100,0,100,296,
Isaac,"Nebo, Nebo Creek",-21.688163,148.686713,19-May-16,FALSE,0,0,100,0,100,296,
Gold Coast,"Nerang, Gilston Road",-28.002991,153.324217,20-May-16,TRUE,0,0,0,0,0,104,406
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,18-May-16,FALSE,4000,5000,1000,0,10000,245,781
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,19-May-16,TRUE,0,0,0,0,0,221,585
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,21-May-16,FALSE,2145,1755,0,0,3900,108,153
Brisbane,Northgate reserve,-27.398694,153.072987,20-May-16,FALSE,210,0,0,0,210,188,575
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,20-May-16,FALSE,26,0,104,0,130,191,556
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,24-May-16,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Palmwoods, Jubilee Drive",-26.6825,152.9618,24-May-16,FALSE,200,0,0,0,200,243,
Brisbane,"Parkinson, Avondale Crescent",-27.63034,153.033682,20-May-16,FALSE,210,140,0,0,350,112,419
Whitsunday,Proserpine River,-20.45575,148.69517,6-Apr-16,FALSE,7000,0,0,0,7000,328,426
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,20-May-16,FALSE,945,94,2110,0,3150,122,429
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,20-May-16,FALSE,570,0,2280,0,2850,122,429
Logan,"Regents Park, Emerald Drive",-27.680013,153.036987,20-May-16,TRUE,0,0,0,0,0,128,433
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,20-May-16,TRUE,0,0,0,0,0,130,436
Brisbane,"Sandgate, Curlew Park",-27.3231,153.0687,20-May-16,TRUE,0,0,0,0,0,134,151
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,20-May-16,FALSE,30,0,0,0,30,137,582
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,20-May-16,TRUE,0,0,0,0,0,137,582
Gold Coast,"Southport, Akes Avenue,",-27.9797,153.4136,20-May-16,FALSE,87,0,0,0,87,140,137
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,20-May-16,TRUE,0,0,0,0,0,141,445
Brisbane,Sunnybank (Les Atkinson Park),-27.582594,153.052372,21-May-16,TRUE,0,0,0,0,0,146,452
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,19-May-16,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,19-May-16,TRUE,0,0,0,0,0,155,459
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,19-May-16,TRUE,0,0,0,0,0,271,
Toowoomba,"Toowoomba, Spring Street",-27.601012,151.942978,20-May-16,FALSE,1500,300,20,0,1820,159,462
Gold Coast,"Upper Coomera, Heathwood Drive",-27.870743,153.311378,20-May-16,FALSE,3720,2480,0,0,6200,230,593
Mackay,Vines Creek,-21.1137,149.1816,20-May-16,FALSE,8000,0,0,0,8000,293,293
Mackay,Walkerston,-21.1606,149.0621,20-May-16,FALSE,4000,0,0,0,4000,294,276
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,22-May-16,TRUE,0,0,0,0,0,226,775
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,20-May-16,TRUE,0,0,0,0,0,255,754
Noosa,Weyba Creek,-26.407034,153.076583,20-May-16,TRUE,0,0,0,0,0,168,187
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,18-May-16,FALSE,5000,40000,55000,0,100000,171,190
Moreton Bay,Woodford,-26.95031,152.7763,21-May-16,TRUE,0,0,0,0,0,173,192
Ipswich,Yamanto,-27.651449,152.755601,20-May-16,FALSE,204,996,0,0,1200,177,479
