Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Gladstone,"Gladstone West, Blain Drive",-23.851422,151.233179,17-May-19,TRUE,0,0,0,0,0,279,
Gladstone,Calliope,-24.00123,151.19309,17-May-19,FALSE,6000,0,0,0,6000,262,
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,16-May-19,TRUE,0,0,0,0,0,97,402
Gold Coast,"Southport, Akes Avenue,",-27.9797,153.4136,16-May-19,FALSE,200,0,0,0,200,140,137
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,17-May-19,TRUE,0,0,0,0,0,201,310
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,17-May-19,FALSE,0,0,0,0,0,21,141
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,17-May-19,FALSE,4300,1000,0,0,5300,23,148
Gold Coast,Canungra Creek Park,-28.016577,153.160156,17-May-19,FALSE,1900,100,0,0,2000,350,
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,16-May-19,FALSE,0,0,0,0,0,190,307
Gold Coast,"Coombabah, Coombabah Creek",-27.8883,153.3812,16-May-19,TRUE,0,0,0,0,0,33,543
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,16-May-19,FALSE,80,0,0,0,80,141,445
Gold Coast,"Chiba Reserve, Burrendong Rd, Coombabah",-27.893616,153.384217,16-May-19,FALSE,500,1000,0,0,1500,365,
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,16-May-19,FALSE,900,100,0,0,1000,218,592
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,16-May-19,FALSE,1080,120,0,0,1200,130,436
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,16-May-19,TRUE,0,0,0,0,0,223,591
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,18-May-19,FALSE,4000,500,0,0,4500,200,368
Moreton Bay,Woodford,-26.95031,152.7763,17-May-19,FALSE,1800,950,0,0,2750,173,192
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,17-May-19,TRUE,0,0,0,0,0,86,390
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,16-May-19,FALSE,0,0,0,0,0,205,418
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,16-May-19,TRUE,0,0,0,0,0,93,395
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,16-May-19,FALSE,495,5,0,0,500,189,298
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,16-May-19,FALSE,2750,110,0,0,2860,164,186
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,16-May-19,TRUE,0,0,0,0,0,156,460
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,16-May-19,TRUE,0,0,0,0,0,78,374
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,16-May-19,FALSE,4400,3200,0,0,7600,375,
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,16-May-19,TRUE,0,0,0,0,0,198,322
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,16-May-19,FALSE,0,0,0,0,0,205,418
Sunshine Coast,"Palmview, Glenview Road",-26.757688,153.045879,16-May-19,FALSE,0,110,0,0,110,369,
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,16-May-19,FALSE,240,35,0,0,275,356,
Bundaberg,"Horton, Station Road",-25.226732,152.307816,16-May-19,TRUE,0,0,0,0,0,67,359
Bundaberg,Isis Golf Club,-25.229605,152.3017527,16-May-19,TRUE,0,0,0,0,0,363,
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,16-May-19,TRUE,0,0,0,0,0,221,585
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,16-May-19,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,16-May-19,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,16-May-19,TRUE,0,0,0,0,0,7,279
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,16-May-19,FALSE,8500,1,0,0,8501,265,772
Bundaberg,"North Bundaberg, Queen St",-24.844087,152.347531,16-May-19,TRUE,0,0,0,0,0,351,
Bundaberg,Moore Park Beach,-24.71827,152.280459,16-May-19,TRUE,0,0,0,0,0,297,773
Brisbane,"Calamvale, Earnshaw St.",-27.621157,153.036482,19-May-19,TRUE,0,0,0,0,0,19,300
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,15-May-19,FALSE,900,0,0,0,900,191,556
Toowoomba,"Highfields, Jackson Close",-27.460528,151.928278,15-May-19,TRUE,0,0,0,0,0,235,719
Toowoomba,"Hampton, Wockner Rd",-27.346726,152.055752,15-May-19,TRUE,0,0,0,0,0,60,569
Somerset,"Linville, John Street",-26.841322,152.278415,15-May-19,FALSE,700,0,0,0,700,206,552
Toowoomba,"The Palms NP, Cooyar",-26.93452,151.87859,15-May-19,FALSE,1000,0,0,0,1000,152,183
South Burnett,"Murgon, Douglas Street",-26.2395,151.9389,15-May-19,TRUE,0,0,0,0,0,268,
Toowoomba,"Pittsworth, Int. Campbell St & Perham St",-27.708465,151.638824,16-May-19,TRUE,0,0,0,0,0,117,562
Toowoomba,"Pittsworth, 1 Thomas Street",-27.712528,151.634861,16-May-19,TRUE,0,0,0,0,0,211,561
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,16-May-19,FALSE,400,0,500,0,900,83,383
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,16-May-19,FALSE,400,0,2500,0,2900,76,372
