Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,20-Feb-17,FALSE,80,0,0,0,80,190,307
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,20-Feb-17,FALSE,900,350,0,0,1250,185,306
Gold Coast,Canungra Creek Park,-28.016577,153.160156,17-Feb-17,FALSE,1000,300,0,0,1300,350,
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,17-Feb-17,TRUE,0,0,0,0,0,201,310
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,17-Feb-17,FALSE,1200,0,0,0,1200,23,148
Gold Coast,"Surfers Paradise, Girung Island",-28.009264,153.419293,17-Feb-17,FALSE,45,0,0,0,45,203,541
Gold Coast,Currumbin Creek,-28.14534,153.46721,17-Feb-17,FALSE,3000,3000,0,0,6000,36,325
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,17-Feb-17,FALSE,1840,920,15640,0,18400,231,714
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,17-Feb-17,FALSE,260,0,0,0,260,232,715
Gold Coast,"Broadbeach, Jupiters Casino",-28.030678,153.428033,17-Feb-17,FALSE,12,0,0,0,12,269,779
Gold Coast,"Labrador, Norm Rix Park",-27.942313,153.397876,17-Feb-17,FALSE,49,0,0,0,49,348,
Gold Coast,"Pimpama, Mirambeena Drive",-27.800115,153.273429,17-Feb-17,FALSE,8,0,0,0,8,314,
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,20-Feb-17,FALSE,2100,4900,0,0,7000,97,402
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,17-Feb-17,TRUE,0,0,0,0,0,96,401
Gold Coast,"Nerang, Gilston Road",-28.002991,153.324217,17-Feb-17,FALSE,300,50,0,0,350,104,406
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,20-Feb-17,FALSE,12,0,0,0,12,300,
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,20-Feb-17,FALSE,480,0,0,0,480,130,436
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,17-Feb-17,FALSE,74,0,0,0,74,218,592
Gold Coast,"Southport, Akes Avenue,",-27.9797,153.4136,17-Feb-17,FALSE,290,0,0,0,290,140,137
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,17-Feb-17,FALSE,150,0,8200,0,8350,141,445
Gold Coast,"Surfers Paradise, Macintosh Island",-27.984243,153.427208,17-Feb-17,FALSE,38,0,0,0,38,187,453
Gold Coast,Southport Golf Club,-27.9951,153.4134,17-Feb-17,FALSE,12,0,0,0,12,139,545
Gold Coast,"Surfers Paradise, Remembrance Drive",-28.007941,153.427063,17-Feb-17,FALSE,14,0,0,0,14,217,590
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,20-Feb-17,TRUE,0,0,0,0,0,223,591
Gold Coast,"Upper Coomera, Heathwood Drive",-27.870743,153.311378,17-Feb-17,TRUE,0,0,0,0,0,230,593
