Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,16-Aug-19,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,16-Aug-19,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,16-Aug-19,TRUE,0,0,0,0,0,271,
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,16-Aug-19,TRUE,0,0,0,0,0,91,534
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,16-Aug-19,FALSE,3000,5,0,0,3005,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,15-Aug-19,TRUE,0,0,0,0,0,171,190
Maranoa,"Roma, Bungil Creek",-26.560163,148.802898,15-Aug-19,TRUE,0,0,0,0,0,131,295
Western Downs,"Dalby, Myall Creek",-27.18833,151.2626,16-Aug-19,FALSE,950,0,0,0,950,37,327
Western Downs,Chinchilla,-26.80121,150.58126,15-Aug-19,TRUE,0,0,0,0,0,27,557
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,15-Aug-19,FALSE,150,0,0,0,150,191,556
Toowoomba,"Toowoomba, Spring Street",-27.601012,151.942978,15-Aug-19,FALSE,1165,160,0,0,1325,159,462
Baloone,St George,-28.025529,148.589506,15-Aug-19,TRUE,0,0,0,0,0,280,770
Maranoa,Surat,-27.150293,149.069653,15-Aug-19,TRUE,0,0,0,0,0,282,
Toowoomba,"Pittsworth, Briggs Street",-27.722054,151.633725,16-Aug-19,FALSE,150,0,0,0,150,385,
Somerset,Esk,-27.2349,152.4233,16-Aug-19,FALSE,1500,4000,0,0,5500,47,156
Toowoomba,"Highfields, Jackson Close",-27.460528,151.928278,16-Aug-19,FALSE,1000,200,0,0,1200,235,719
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,16-Aug-19,FALSE,1200,3500,0,0,4700,83,383
Goondiwindi,Goondiwindi (Macintyre River) Cairns St.,-28.537349,150.287601,16-Aug-19,TRUE,0,0,0,0,0,57,547
Toowoomba,"The Palms NP, Cooyar",-26.93452,151.87859,16-Aug-19,TRUE,0,0,0,0,0,152,183
Somerset,"Linville, John Street",-26.841322,152.278415,16-Aug-19,TRUE,0,0,0,0,0,206,552
Rockhampton,Emu Park (Bell Park),-23.25383,150.82504,15-Aug-19,FALSE,2000,200,0,0,2200,386,
Gold Coast,Canungra Creek Park,-28.016577,153.160156,16-Aug-19,FALSE,850,1600,0,0,2450,350,803
Rockhampton,Keppel Sands,-23.33265,150.7916,15-Aug-19,FALSE,1800,50,0,0,1850,292,367
Rockhampton,"Yeppoon, Ross Creek",-23.135065,150.746748,15-Aug-19,FALSE,12000,0,0,0,12000,276,438
Gladstone,Calliope,-24.00123,151.19309,16-Aug-19,FALSE,2500,4000,0,0,6500,262,
Rockhampton,Kabra,-23.471698,150.396872,16-Aug-19,FALSE,3000,2000,0,0,5000,256,362
Gladstone,Miriam Vale,-24.3262,151.5547,16-Aug-19,FALSE,2000,1000,0,0,3000,264,
Banana,Moura,-24.573906,149.968068,16-Aug-19,TRUE,0,0,0,0,0,253,
Gladstone,Boyne Island,-23.943197,151.354066,16-Aug-19,FALSE,2000,0,0,0,2000,278,290
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,16-Aug-19,TRUE,0,0,0,0,0,255,754
Banana,Wowan,-23.910522,150.192726,16-Aug-19,FALSE,740,10,0,0,750,254,
Banana,Moura,-24.573906,149.968068,16-Aug-19,TRUE,0,0,0,0,0,253,
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,16-Aug-19,TRUE,0,0,0,0,0,255,754
Rockhampton,Duaringa,-23.7209,149.6709,16-Aug-19,TRUE,0,0,0,0,0,301,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,16-Aug-19,TRUE,0,0,0,0,0,371,
Gladstone,Boyne Island,-23.943197,151.354066,16-Aug-19,FALSE,1910,90,0,0,2000,278,290
Gladstone,Calliope,-24.00123,151.19309,16-Aug-19,FALSE,960,1690,0,0,2650,262,
Gladstone,"Gladstone West, Blain Drive",-23.851422,151.233179,16-Aug-19,FALSE,0,0,0,0,0,279,
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,16-Aug-19,FALSE,596,161,0,0,757,198,322
Brisbane,Brisbane Botanic Gardens Parliament House,-27.4748293,153.0279204,21-Aug-19,FALSE,70,0,0,0,70,392,
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,15-Aug-19,FALSE,35000,7500,0,0,42500,29,315
Moreton Bay,"Albany Creek, Kingfisher Street",-27.347189,152.959594,16-Aug-19,FALSE,1500,3000,0,0,4500,272,
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,20-Aug-19,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,15-Aug-19,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,15-Aug-19,TRUE,0,0,0,0,0,7,279
Bundaberg,Childers (Mango Hill Road),-25.246917,152.316675,15-Aug-19,TRUE,0,0,0,0,0,26,312
Moreton Bay,"Ferny Hills, Kylie Ave",-27.4055,152.945647,16-Aug-19,TRUE,0,0,0,0,0,197,341
Bundaberg,"Gaeta Road, Gaeta",-24.903869,151.592981,20-Aug-19,TRUE,0,0,0,0,0,355,
