Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,14-Nov-17,FALSE,4400,1100,0,0,5500,59,161
Ipswich,Yamanto,-27.651449,152.755601,17-Nov-17,FALSE,2000,0,0,0,2000,177,479
Banana,Wowan,-23.910522,150.192726,17-Nov-17,FALSE,1750,0,750,0,2500,254,
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,19-Nov-17,FALSE,1339,41,0,0,1380,43,159
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,17-Nov-17,FALSE,0,0,800,0,800,182,347
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,16-Nov-17,TRUE,0,0,0,0,0,87,533
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,17-Nov-17,FALSE,1000,600,0,0,1600,185,306
Logan,"Beenleigh, Logan St",-27.708984,153.196341,16-Nov-17,FALSE,2500,2000,0,0,4500,204,281
Scenic Rim,"Boonah, Bicentenial Park",-27.99191,152.679877,16-Nov-17,TRUE,0,0,0,0,0,11,289
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,16-Nov-17,TRUE,0,0,0,0,0,201,310
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,17-Nov-17,FALSE,16,24,0,0,40,300,
Gold Coast,Currumbin Creek,-28.14534,153.46721,17-Nov-17,FALSE,3500,4500,0,0,8000,36,325
Brisbane,Sunnybank (Les Atkinson Park),-27.582594,153.052372,16-Nov-17,FALSE,280,400,0,0,680,146,452
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,22-Nov-17,FALSE,1000,0,0,0,1000,108,153
Logan,"Loganholme, Alexander Clark Park",-27.70147,153.18762,16-Nov-17,FALSE,800,400,0,0,1200,80,138
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,16-Nov-17,TRUE,0,0,0,0,0,96,401
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,16-Nov-17,FALSE,1600,6400,0,0,8000,95,400
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,17-Nov-17,FALSE,360,40,0,0,400,232,715
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,17-Nov-17,FALSE,500,500,0,0,1000,196,574
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,17-Nov-17,FALSE,300,0,0,0,300,20,140
Ipswich,"Chuwar, Brodzig Road",-27.567961,152.791192,17-Nov-17,TRUE,0,0,0,0,0,207,577
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,17-Nov-17,FALSE,740,999,111,0,1850,215,595
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,17-Nov-17,FALSE,500,0,0,0,500,359,
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,17-Nov-17,FALSE,0,0,2000,0,2000,267,
