Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,19-Feb-16,TRUE,0,0,0,0,0,18,299
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,18-Feb-16,FALSE,6000,0,110000,0,116000,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,19-Feb-16,TRUE,0,0,0,0,0,347,
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,19-Feb-16,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,19-Feb-16,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,18-Feb-16,FALSE,7000,0,100000,0,107000,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,19-Feb-16,FALSE,4000,0,0,0,4000,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,19-Feb-16,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,19-Feb-16,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,19-Feb-16,TRUE,0,0,0,0,0,87,533
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,19-Feb-16,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,19-Feb-16,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,19-Feb-16,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,19-Feb-16,TRUE,0,0,0,0,0,271,
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,19-Feb-16,TRUE,0,0,0,0,0,91,534
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,19-Feb-16,FALSE,4000,0,5000,0,9000,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,18-Feb-16,FALSE,5000,20000,0,0,25000,171,190
Isaac,Middlemount,-22.8124,148.7016,22-Feb-16,FALSE,0,0,150,0,150,261,393
Isaac,Moranbah,-22.008,148.0608,26-Feb-16,FALSE,0,0,400,0,400,257,396
Isaac,Middlemount,-22.8124,148.7016,3-Mar-16,FALSE,0,0,150,0,150,261,393
Logan,"Beenleigh, Logan St",-27.708984,153.196341,19-Feb-16,FALSE,1225,1225,0,0,2450,204,281
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,19-Feb-16,FALSE,0,0,0,0,0,184,377
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,19-Feb-16,FALSE,0,800,0,0,800,150,455
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,19-Feb-16,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,19-Feb-16,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,12-Feb-16,TRUE,0,0,0,0,0,7,279
Brisbane,"Sandgate, Curlew Park",-27.3231,153.0687,18-Feb-16,FALSE,1410,0,940,0,2350,134,151
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,18-Feb-16,FALSE,11,0,0,0,11,137,582
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,18-Feb-16,FALSE,1620,0,1080,0,2700,122,429
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,18-Feb-16,TRUE,0,0,0,0,0,189,298
Moreton Bay,Burpengary,-27.152663,152.971398,18-Feb-16,TRUE,0,0,0,0,0,16,297
Southern Downs,Allora (Dalrymple Park Reserve),-28.031389,151.984722,19-Feb-16,FALSE,300,0,0,0,300,3,271
Somerset,Esk,-27.2349,152.4233,19-Feb-16,FALSE,3000,4000,30000,0,37000,47,156
Lockyer Valley,"Helidon, Gunn Street",-27.548306,152.122694,19-Feb-16,FALSE,0,0,30000,0,30000,212,570
Toowoomba,"Toowoomba, Spring Street",-27.601012,151.942978,19-Feb-16,FALSE,6000,0,0,0,6000,159,462
Southern Downs,"Killarney, Killarney State School",-28.338787,152.301742,19-Feb-16,FALSE,300,0,2000,0,2300,239,777
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,19-Feb-16,FALSE,5000,0,0,0,5000,76,372
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,19-Feb-16,FALSE,300,0,2000,0,2300,191,556
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,20-Feb-16,FALSE,1066,11,0,0,1077,43,159
North Burnett,"Gayndah, Brambah Ck",-25.5859,151.6622,18-Feb-16,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,19-Feb-16,TRUE,0,0,0,0,0,147,537
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,19-Feb-16,FALSE,2000,0,0,0,2000,265,772
Bundaberg,"Horton, Station Road",-25.226732,152.307816,19-Feb-16,FALSE,5000,0,0,0,5000,67,359
Bundaberg,Moore Park Beach,-24.71827,152.280459,19-Feb-16,TRUE,0,0,0,0,0,297,773
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,19-Feb-16,TRUE,0,0,0,0,0,221,585
Rockhampton,Kabra,-23.471698,150.396872,19-Feb-16,FALSE,5000,0,0,0,5000,256,362
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,22-Feb-16,TRUE,0,0,0,0,0,300,
Gold Coast,"Miami, Pizzey Drive",-28.068058,153.423814,22-Feb-16,TRUE,0,0,0,0,0,202,546
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,22-Feb-16,FALSE,450,0,0,0,450,130,436
Whitsunday,Myrtle Creek,-20.376,148.594,23-Feb-16,FALSE,100,0,0,0,100,325,404
Whitsunday,Palm Creek,-20.3805,148.63652,23-Feb-16,TRUE,0,0,0,0,0,327,416
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,20-Feb-16,FALSE,100,250,0,0,350,93,395
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,19-Feb-16,FALSE,1500,150,0,0,1650,200,368
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,19-Feb-16,FALSE,390,1560,0,0,1950,78,374
Sunshine Coast,"Conondale, Herron Rd",-26.727645,152.719883,19-Feb-16,TRUE,0,0,0,0,0,194,317
Mackay,"Mackay, Cemetery",-21.143316,149.172132,10-Feb-16,FALSE,5000,0,0,0,5000,352,
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,18-Feb-16,FALSE,31500,13500,45000,0,90000,59,161
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,22-Feb-16,FALSE,3000,3000,500000,0,506000,245,781
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,18-Feb-16,FALSE,2475,25,0,0,2500,53,349
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,17-Feb-16,FALSE,2384,3576,0,0,5960,34,324
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,18-Feb-16,FALSE,2500,2500,45000,0,50000,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,26-Feb-16,FALSE,0,0,0,0,0,70,164
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,19-Feb-16,FALSE,8000,0,110000,0,118000,63,580
Sunshine Coast,"Palmwoods, Jubilee Drive",-26.6825,152.9618,19-Feb-16,FALSE,4000,16000,0,0,20000,243,
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,19-Feb-16,FALSE,2700,300,0,0,3000,86,390
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,19-Feb-16,FALSE,0,0,20000,0,20000,156,460
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,19-Feb-16,FALSE,1600,1400,2000,0,5000,164,186
Noosa,Weyba Creek,-26.407034,153.076583,20-Feb-16,TRUE,0,0,0,0,0,168,187
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,24-Feb-16,FALSE,500,0,500,0,1000,196,574
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,24-Feb-16,TRUE,0,0,0,0,0,267,
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,24-Feb-16,FALSE,300,0,0,0,300,20,140
Ipswich,Redbank (Pan Pacific Peace Garden),-27.599624,152.880163,24-Feb-16,TRUE,0,0,0,0,0,121,428
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,24-Feb-16,TRUE,0,0,0,0,0,215,595
Gold Coast,"Robina, Palmer Gold Coast Golf Course",-28.073239,153.400072,19-Feb-16,TRUE,0,0,0,0,0,302,
Moreton Bay,Woodford,-26.95031,152.7763,19-Feb-16,FALSE,18200,8400,1400,0,28000,173,192
Brisbane,"Windsor, Enoggera Creek",-27.437646,153.037633,17-Feb-16,FALSE,0,0,0,0,0,199,644
Brisbane,Deagon,-27.33338056,153.0535639,19-Feb-16,FALSE,1500,4500,0,0,6000,335,
Mackay,Vines Creek,-21.1137,149.1816,18-Feb-16,FALSE,8500,0,0,0,8500,293,293
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,22-Feb-16,FALSE,3000,7000,0,0,10000,21,141
Gold Coast,Canungra Creek Park,-28.016577,153.160156,22-Feb-16,FALSE,800,150,0,0,950,350,
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,22-Feb-16,FALSE,780,1820,0,0,2600,185,306
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,22-Feb-16,FALSE,55,0,0,0,55,190,307
Gold Coast,Currumbin Creek,-28.14534,153.46721,22-Feb-16,FALSE,1380,0,0,0,1380,36,325
Logan,"Beenleigh, Logan St",-27.708984,153.196341,22-Feb-16,FALSE,1400,0,0,0,1400,204,281
Gold Coast,"Broadbeach, Cascade Gardens",-28.0222,153.4277,19-Feb-16,FALSE,1000,0,0,0,1000,12,147
Gold Coast,"Burleigh, Marymount College",-28.0946,153.4292,22-Feb-16,TRUE,0,0,0,0,0,15,296
Gold Coast,"Burleigh Knoll, Burleigh Street, Burleigh Waters",-28.081933,153.439014,19-Feb-16,FALSE,300,0,0,0,300,234,713
Gold Coast,"Surfers Paradise, Girung Island",-28.009264,153.419293,19-Feb-16,FALSE,30,0,0,0,30,203,541
Gold Coast,"Labrador, Government Rd",-27.94808,153.397261,19-Feb-16,FALSE,12,0,0,0,12,195,544
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,19-Feb-16,TRUE,0,0,0,0,0,231,714
Gold Coast,"Helensvale, Mildura Drive",-27.9012,153.3343,22-Feb-16,TRUE,0,0,0,0,0,61,170
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,22-Feb-16,FALSE,60,0,0,0,60,232,715
Gold Coast,"Broadbeach, Jupiters Casino",-28.030678,153.428033,19-Feb-16,FALSE,25,0,0,0,25,269,779
Gold Coast,"Labrador, Norm Rix Park",-27.942313,153.397876,19-Feb-16,FALSE,25,0,0,0,25,348,
Gold Coast,"Coombabah, Coombabah Creek",-27.8883,153.3812,19-Feb-16,TRUE,0,0,0,0,0,33,543
Gold Coast,"Pimpama, Mirambeena Drive",-27.800115,153.273429,22-Feb-16,FALSE,24,0,0,0,24,314,
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,22-Feb-16,TRUE,0,0,0,0,0,96,401
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,22-Feb-16,FALSE,3600,8400,0,0,12000,97,402
Gold Coast,"Nerang, Gilston Road",-28.002991,153.324217,22-Feb-16,FALSE,450,450,0,0,900,104,406
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,19-Feb-16,FALSE,2400,0,2600,0,5000,218,592
Gold Coast,"Southport, Akes Avenue,",-27.9797,153.4136,19-Feb-16,FALSE,100,0,0,0,100,140,137
Gold Coast,Southport Golf Club,-27.9951,153.4134,19-Feb-16,FALSE,10,0,0,0,10,139,545
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,12-Feb-16,FALSE,100,0,14600,0,14700,141,445
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,19-Feb-16,FALSE,100,0,14600,0,14700,141,445
Gold Coast,"Surfers Paradise, Macintosh Island",-27.984243,153.427208,19-Feb-16,FALSE,45,0,0,0,45,187,453
Gold Coast,"Surfers Paradise, Remembrance Drive",-28.007941,153.427063,19-Feb-16,FALSE,32,0,0,0,32,217,590
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,22-Feb-16,FALSE,900,500,0,0,1400,223,591
Isaac,Moranbah,-22.008,148.0608,4-Jan-16,FALSE,0,0,1500,0,1500,257,396
Gold Coast,"Upper Coomera, Heathwood Drive",-27.870743,153.311378,19-Feb-16,FALSE,9100,3900,0,0,13000,230,593
Whitsunday,Daydream Island,-20.25547,148.81395,17-Feb-16,FALSE,2700,0,0,0,2700,346,
Whitsunday,Hamilton Island,-20.3449,148.95179,18-Feb-16,FALSE,4500,0,0,0,4500,266,353
Mackay,Walkerston,-21.1606,149.0621,22-Feb-16,FALSE,4000,0,0,0,4000,294,276
Redland,Coochiemudlo Island,-27.572437,153.331214,19-Feb-16,TRUE,0,0,0,0,0,30,319
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,21-Feb-16,FALSE,638,0,638,0,1275,182,347
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,19-Feb-16,FALSE,1500,2500,0,0,4000,83,383
Ipswich,Woodend,-27.6031,152.7485,19-Feb-16,FALSE,500,0,10000,0,10500,172,191
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,17-Feb-16,FALSE,1200,4800,0,0,6000,46,339
Mackay,Finch Hatton Gorge,-21.0808,148.6347,19-Feb-16,FALSE,22000,0,0,0,22000,290,343
Isaac,Middlemount,-22.8124,148.7016,9-Feb-16,FALSE,0,0,20,0,20,261,393
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,19-Feb-16,FALSE,500,0,0,0,500,255,754
Isaac,Middlemount,-22.8124,148.7016,1-Jan-16,FALSE,0,0,2000,0,2000,261,393
Isaac,Moranbah,-22.008,148.0608,1-Jan-16,TRUE,0,0,0,0,0,257,396
Isaac,"Clermont, Capella Street",-22.818229,147.64139,1-Jan-16,TRUE,0,0,0,0,0,336,314
Logan,"Logan Central, Bardon and Wembley Rds",-27.645151,153.097612,22-Feb-16,TRUE,0,0,0,0,0,219,596
Brisbane,"Toowong Perrin Park, Josling St",-27.490983,152.992867,19-Feb-16,FALSE,1500,200,0,0,1700,208,584
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,19-Feb-16,FALSE,3000,150,0,0,3150,95,400
Brisbane,"Calamvale, Golden Avenue",-27.62738,153.056525,22-Feb-16,FALSE,700,0,1200,0,1900,241,744
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,22-Feb-16,FALSE,2000,0,4000,0,6000,196,574
Ipswich,Yamanto,-27.651449,152.755601,22-Feb-16,FALSE,2000,500,0,0,2500,177,479
Logan,"Regents Park, Emerald Drive",-27.680013,153.036987,22-Feb-16,FALSE,0,0,10000,0,10000,128,433
Brisbane,"Parkinson, Avondale Crescent",-27.63034,153.033682,22-Feb-16,TRUE,0,0,0,0,0,112,419
Brisbane,Northgate reserve,-27.398694,153.072987,18-Feb-16,FALSE,422,0,8028,0,8450,188,575
Brisbane,"Northgate, Carter Street",-27.388437,153.07509,18-Feb-16,TRUE,0,0,0,0,0,341,
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,22-Feb-16,FALSE,500,300,0,0,800,23,148
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,22-Feb-16,TRUE,0,0,0,0,0,201,310
