Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,18-Feb-18,TRUE,0,0,0,0,0,108,153
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,21-Feb-18,FALSE,0,3320,0,0,3320,150,455
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,16-Feb-18,FALSE,700,0,0,0,700,182,347
Lockyer Valley,"Helidon, Gunn Street",-27.548306,152.122694,16-Feb-18,FALSE,0,0,350,0,350,212,570
Lockyer Valley,Murphys Creek,-27.455941,152.049271,16-Feb-18,TRUE,0,0,0,0,0,358,
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,19-Feb-18,FALSE,1339,41,0,0,1380,43,159
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,16-Feb-18,TRUE,0,0,0,0,0,364,
North Burnett,"Gayndah, Barambah Ck",-25.5859,151.6622,14-Feb-18,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,16-Feb-18,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,16-Feb-18,FALSE,6000,0,20000,0,26000,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,16-Feb-18,TRUE,0,0,0,0,0,18,299
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,16-Feb-18,TRUE,0,0,0,0,0,215,595
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,16-Feb-18,FALSE,2250,0,750,0,3000,76,372
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,16-Feb-18,FALSE,320,0,48900,0,49220,255,754
Rockhampton,Kabra,-23.471698,150.396872,16-Feb-18,FALSE,1000,0,0,0,1000,256,362
Isaac,"Clermont, Capella Street",-22.818229,147.64139,12-Feb-18,FALSE,0,0,1000,0,1000,336,314
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,13-Feb-18,FALSE,2730,495,60,0,3285,86,390
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,13-Feb-18,FALSE,997,355,0,0,1352,198,322
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,13-Feb-18,FALSE,477,58,0,0,535,93,395
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,13-Feb-18,FALSE,830,0,0,0,830,156,460
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,13-Feb-18,FALSE,1005,1740,0,0,2745,78,374
