Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Mackay,Vines Creek,-21.1137,149.1816,14-Feb-19,FALSE,1100,0,0,0,1100,293,293
Mackay,Walkerston,-21.1606,149.0621,14-Feb-19,FALSE,500,0,0,0,500,294,276
Mackay,Eungella State School,-21.1358,148.492,14-Feb-19,FALSE,5000,0,1000,0,6000,307,340
Whitsunday,"Proserpine, Faust Street",-20.401,148.5753,15-Feb-19,FALSE,49,0,0,0,49,312,425
North Burnett,"Gayndah, Barambah Ck",-25.5859,151.6622,15-Feb-19,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,15-Feb-19,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,15-Feb-19,FALSE,2000,0,0,0,2000,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,15-Feb-19,FALSE,400,0,0,0,400,18,299
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,14-Feb-19,FALSE,10000,0,2,0,10002,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,15-Feb-19,TRUE,0,0,0,0,0,347,
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,15-Feb-19,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,14-Feb-19,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,14-Feb-19,FALSE,12000,0,60000,0,72000,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,14-Feb-19,FALSE,3500,0,25000,0,28500,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,14-Feb-19,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,14-Feb-19,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,15-Feb-19,TRUE,0,0,0,0,0,87,533
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,15-Feb-19,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,15-Feb-19,TRUE,0,0,0,0,0,249,760
