Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,17-Aug-18,FALSE,20000,0,0,0,20000,265,772
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,17-Aug-18,FALSE,100,700,0,0,800,196,574
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,17-Aug-18,FALSE,100,0,0,0,100,359,
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,17-Aug-18,FALSE,500,500,0,0,1000,20,140
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,17-Aug-18,TRUE,0,0,0,0,0,267,
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,17-Aug-18,TRUE,0,0,0,0,0,215,595
Ipswich,Woodend,-27.6031,152.7485,17-Aug-18,TRUE,0,0,0,0,0,172,191
Ipswich,Yamanto,-27.651449,152.755601,17-Aug-18,FALSE,1000,500,0,0,1500,177,479
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,17-Aug-18,TRUE,0,0,0,0,0,182,347
Lockyer Valley,"Helidon, Gunn Street",-27.548306,152.122694,17-Aug-18,TRUE,0,0,0,0,0,212,570
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,17-Aug-18,FALSE,218,0,0,0,218,76,372
Lockyer Valley,Murphys Creek,-27.455941,152.049271,17-Aug-18,TRUE,0,0,0,0,0,358,
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,17-Aug-18,TRUE,0,0,0,0,0,364,
North Burnett,"Gayndah, Barambah Ck",-25.5859,151.6622,16-Aug-18,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,17-Aug-18,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,17-Aug-18,FALSE,45000,30000,0,0,75000,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,17-Aug-18,TRUE,0,0,0,0,0,18,299
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,16-Aug-18,TRUE,0,0,0,0,0,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,17-Aug-18,TRUE,0,0,0,0,0,347,
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,17-Aug-18,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,16-Aug-18,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,16-Aug-18,TRUE,0,0,0,0,0,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,16-Aug-18,TRUE,0,0,0,0,0,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,16-Aug-18,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,16-Aug-18,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,16-Aug-18,TRUE,0,0,0,0,0,87,533
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,17-Aug-18,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,17-Aug-18,FALSE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,17-Aug-18,TRUE,0,0,0,0,0,90,392
