Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,18-May-17,FALSE,800,0,0,0,800,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,19-May-17,TRUE,0,0,0,0,0,347,
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,19-May-17,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,19-May-17,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,18-May-17,FALSE,2500,0,0,0,2500,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,19-May-17,TRUE,0,0,0,0,0,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,19-May-17,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,19-May-17,FALSE,10000,20000,0,0,30000,209,539
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,18-May-17,FALSE,240,370,0,0,610,356,
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,18-May-17,TRUE,0,0,0,0,0,156,460
Gold Coast,"Miami, Pizzey Drive",-28.068058,153.423814,20-May-17,TRUE,0,0,0,0,0,202,546
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,20-May-17,FALSE,20,0,0,0,20,300,
Gladstone,Boyne Island,-23.943197,151.354066,19-May-17,FALSE,500,0,0,0,500,278,290
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,20-May-17,TRUE,0,0,0,0,0,182,347
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,19-May-17,FALSE,340,200,0,0,540,108,153
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,20-May-17,TRUE,0,0,0,0,0,226,775
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,19-May-17,TRUE,0,0,0,0,0,255,754
Rockhampton,Kabra,-23.471698,150.396872,19-May-17,FALSE,1950,0,0,0,1950,256,362
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,19-May-17,FALSE,500,0,0,0,500,200,368
Gladstone,Calliope,-24.00123,151.19309,19-May-17,FALSE,600,0,0,0,600,262,
Gladstone,Miriam Vale,-24.3262,151.5547,19-May-17,TRUE,0,0,0,0,0,264,
Moreton Bay,Burpengary,-27.152663,152.971398,19-May-17,TRUE,0,0,0,0,0,16,297
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,19-May-17,FALSE,1200,650,700,0,2550,122,429
Whitsunday,Lindeman Island,-20.45293,149.03743,19-May-17,TRUE,0,0,0,0,0,308,376
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,19-May-17,FALSE,100,250,0,0,350,189,298
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,19-May-17,FALSE,80,0,0,0,80,137,582
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,21-May-17,TRUE,0,0,0,0,0,93,395
Moreton Bay,Woodford,-26.95031,152.7763,20-May-17,FALSE,4000,3000,0,0,7000,173,192
Mackay,Eungella State School,-21.1358,148.492,5-Apr-17,FALSE,1700,0,100,0,1800,307,340
Brisbane,"Toowong Perrin Park, Josling St",-27.490983,152.992867,19-May-17,FALSE,2000,300,0,0,2300,208,584
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,19-May-17,FALSE,4000,1000,0,0,5000,95,400
Logan,"Regents Park, Emerald Drive",-27.680013,153.036987,19-May-17,TRUE,0,0,0,0,0,128,433
Moreton Bay,Woodford,-26.95031,152.7763,18-May-17,TRUE,0,0,0,0,0,173,192
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,19-May-17,FALSE,10000,15000,0,0,25000,87,533
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,19-May-17,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,19-May-17,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,19-May-17,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,19-May-17,TRUE,0,0,0,0,0,271,
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,19-May-17,TRUE,0,0,0,0,0,91,534
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,19-May-17,TRUE,0,0,0,0,0,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,19-May-17,FALSE,1000,10000,0,0,11000,171,190
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,18-May-17,FALSE,2245,846,0,0,3091,198,322
